	had_prior_chemotherapy	history_drinking	history_smoking	bmi_scaled	is_male	age_decades
ARID1A_missense	0.40195661919923414	0.7176019381865113	0.4082943993348321	0.546989529884925	0.6243675418644485	0.2468278165179267
ARID1A_truncating	3.59028451740841	20.130950878485557	15.691942723446779	15.834058474904843	23.96659146714793	3.3408747914647154
CDKN1A_missense	0.5860176275899436	1.9700584733615136	1.4926585360920372	1.5958735928590753	1.9911973700008332	0.5217472022547233
CDKN1A_truncating	3.2308897477057714	12.030462390342558	-4.386413228002901	28.648552243895924	18.615843789695944	3.7079082524784353
CREBBP_missense	0.6893237147386584	1.3737956002313125	1.172251890210845	1.8454584480311105	-0.08159910176317997	0.47322425722670103
CREBBP_truncating	5.122933104027086	7.7100737836844235	3.4084832132241667	7.2228234977476875	0.5463664147327658	1.0992976860050536
EP300_missense	0.7455137112349213	0.8648491044226687	1.9030626262683812	3.9360352922425417	0.4726808375689654	0.5252264980277109
EP300_truncating	1.168943688852409	4.239281474315418	3.9326852249294872	9.037565482396115	1.8127522254721569	1.283901264805162
FOXQ1_missense	-0.35853535436704	0.49197983629675257	1.641433819084797	1.3907412792989837	1.8172536339122278	0.4717796132011617
KDM6A_missense	-0.5638032261698858	1.564361367310378	1.1977612511907123	2.187846110261603	1.9136026099750816	0.6968454737772638
KDM6A_truncating	-17.850445000835354	16.98037430474303	9.173773509772634	52.84234156009218	22.67331454814394	7.908679418442957
KMT2C_missense	0.32071119633658784	0.6028199697391232	0.6367350189086283	1.5400741055237392	0.42514315117265533	0.24490087682032358
KMT2C_truncating	-0.19079773583452875	1.4958577702550646	1.4537757305610746	2.4456203083347567	1.7510210539839688	0.7266605355575559
KMT2D_missense	0.0952045793369416	0.21974171230521972	0.6247909974603683	0.5943565713037501	0.3438661937724052	0.32115143063732515
KMT2D_truncating	-1.980371459208044	12.338738217816285	11.460808477636888	16.750493782687677	4.072698282577479	4.431395218882109
NOTCH2_missense	0.7216212168083562	1.3501995428447415	1.4336683320567918	1.809909645500853	0.5156001702224946	0.4743593059282574
NOTCH2_truncating	2.6105265206770127	6.304467135508586	4.422018750991342	7.247063706494188	1.8355162654661146	1.194614926545503
RB1_missense	0.8818395563057273	0.41461152246642663	0.5745072785745295	1.3590962708442018	0.8126652620260784	0.34022720019682245
RBM10_missense	1.3486034861662193	3.3536684204716467	1.8422435442087195	-0.040674267682441645	2.8076651941153	0.6246721895582641
RBM10_truncating	-1.3670646229895418	44.596426265139655	41.24930769151506	18.102208845209212	60.638984262857534	8.867543038463243
STAG2_missense	-0.10897980617234337	0.5346246064093829	0.907747355444413	1.6989807727074229	1.076947519725933	0.35770262319731055
STAG2_truncating	-1.8712114499490706	7.79294482492201	25.436667551741195	19.916809917090884	24.780468184747562	3.8293894050975217
TP53_missense	2.2395517588504843	2.9067204210372477	3.509573996423055	4.83050388655268	1.5545839543971718	1.0861882458068914
total_truncating	-4.684657299157276	8.095791463737061	6.4890426708515205	8.480950179711098	10.75742528707829	3.1840483359538934
total_missense	4.762001066526534	0.5613913920697531	13.671181053306363	14.75461950189735	4.773048163039576	1.829042336271818
